frequency,power
4716,7.63629e-11
4725,7.60834e-11
4734,7.58055e-11
4743,7.55292e-11
4752,7.52546e-11
4761,7.49815e-11
4770,7.47101e-11
4779,7.44402e-11
4788,7.41718e-11
4797,7.39051e-11
4806,7.36398e-11
4815,7.33761e-11
4824,7.31139e-11
4833,7.28532e-11
4842,7.2594e-11
4851,7.23363e-11
4860,7.208e-11
4869,7.18252e-11
4878,7.15719e-11
4887,7.132e-11
4896,7.10695e-11
4905,7.08204e-11
4914,7.05728e-11
4923,7.03265e-11
4932,7.00816e-11
4941,6.98381e-11
4950,6.95959e-11
4959,6.93551e-11
4968,6.91157e-11
4977,6.88775e-11
4986,6.86407e-11
4995,6.84052e-11
5004,6.8171e-11
5013,6.79381e-11
5022,6.77065e-11
5031,6.74762e-11
5040,6.72471e-11
5049,6.70193e-11
5058,6.67927e-11
5067,6.65674e-11
5076,6.63433e-11
5085,6.61204e-11
5094,6.58987e-11
5103,6.56782e-11
5112,6.54589e-11
5121,6.52408e-11
5130,6.50239e-11
5139,6.48082e-11
5148,6.45936e-11
5157,6.43801e-11
5166,6.41678e-11
5175,6.39567e-11
5184,6.37466e-11
5193,6.35377e-11
5202,6.33299e-11
5211,6.31232e-11
5220,6.29176e-11
5229,6.2713e-11
5238,6.25096e-11
5247,6.23072e-11
5256,6.21059e-11
5265,6.19057e-11
5274,6.17064e-11
5283,6.15083e-11
5292,6.13112e-11
5301,6.11151e-11
5310,6.092e-11
5319,6.07259e-11
5328,6.05329e-11
5337,6.03408e-11
5346,6.01497e-11
5355,5.99597e-11
5364,5.97706e-11
5373,5.95824e-11
5382,5.93953e-11
5391,5.92091e-11
5400,5.90238e-11
5409,5.88395e-11
5418,5.86561e-11
5427,5.84737e-11
5436,5.82922e-11
5445,5.81116e-11
5454,5.7932e-11
5463,5.77532e-11
5472,5.75753e-11
5481,5.73984e-11
5490,5.72223e-11
5499,5.70471e-11
5508,5.68728e-11
5517,5.66994e-11
5526,5.65268e-11
5535,5.63551e-11
5544,5.61843e-11
5553,5.60143e-11
5562,5.58451e-11
5571,5.56768e-11
5580,5.55093e-11
5589,5.53426e-11
5598,5.51768e-11
5607,5.50118e-11
5616,5.48476e-11
5625,5.46842e-11
5634,5.45216e-11
5643,5.43598e-11
5652,5.41987e-11
5661,5.40385e-11
5670,5.38791e-11
5679,5.37204e-11
5688,5.35625e-11
5697,5.34053e-11
5706,5.3249e-11
5715,5.30933e-11
5724,5.29385e-11
5733,5.27843e-11
5742,5.2631e-11
5751,5.24783e-11
5760,5.23264e-11
5769,5.21752e-11
5778,5.20247e-11
5787,5.1875e-11
5796,5.17259e-11
5805,5.15776e-11
5814,5.143e-11
5823,5.12831e-11
5832,5.11368e-11
5841,5.09913e-11
5850,5.08464e-11
5859,5.07023e-11
5868,5.05588e-11
5877,5.0416e-11
5886,5.02738e-11
5895,5.01323e-11
5904,4.99915e-11
5913,4.98513e-11
5922,4.97118e-11
5931,4.9573e-11
5940,4.94348e-11
5949,4.92972e-11
5958,4.91602e-11
5967,4.90239e-11
5976,4.88883e-11
5985,4.87532e-11
5994,4.86188e-11
6003,4.8485e-11
6012,4.83518e-11
6021,4.82192e-11
6030,4.80872e-11
6039,4.79559e-11
6048,4.78251e-11
6057,4.76949e-11
6066,4.75653e-11
6075,4.74363e-11
6084,4.73079e-11
6093,4.71801e-11
6102,4.70528e-11
6111,4.69262e-11
6120,4.68e-11
6129,4.66745e-11
6138,4.65495e-11
6147,4.64251e-11
6156,4.63013e-11
6165,4.6178e-11
6174,4.60552e-11
6183,4.5933e-11
6192,4.58114e-11
6201,4.56903e-11
6210,4.55697e-11
6219,4.54496e-11
6228,4.53301e-11
6237,4.52112e-11
6246,4.50927e-11
6255,4.49748e-11
6264,4.48574e-11
6273,4.47405e-11
6282,4.46241e-11
6291,4.45082e-11
6300,4.43929e-11
6309,4.4278e-11
6318,4.41637e-11
6327,4.40498e-11
6336,4.39364e-11
6345,4.38236e-11
6354,4.37112e-11
6363,4.35993e-11
6372,4.34879e-11
6381,4.3377e-11
6390,4.32665e-11
6399,4.31566e-11
6408,4.30471e-11
6417,4.29381e-11
6426,4.28295e-11
6435,4.27214e-11
6444,4.26138e-11
6453,4.25067e-11
6462,4.24e-11
6471,4.22937e-11
6480,4.21879e-11
6489,4.20826e-11
6498,4.19777e-11
6507,4.18732e-11
6516,4.17692e-11
6525,4.16656e-11
6534,4.15625e-11
6543,4.14598e-11
6552,4.13576e-11
6561,4.12557e-11
6570,4.11543e-11
6579,4.10533e-11
6588,4.09528e-11
6597,4.08527e-11
6606,4.0753e-11
6615,4.06537e-11
6624,4.05548e-11
6633,4.04563e-11
6642,4.03582e-11
6651,4.02606e-11
6660,4.01633e-11
6669,4.00665e-11
6678,3.99701e-11
6687,3.9874e-11
6696,3.97784e-11
6705,3.96831e-11
6714,3.95882e-11
6723,3.94938e-11
6732,3.93997e-11
6741,3.9306e-11
6750,3.92127e-11
6759,3.91197e-11
6768,3.90272e-11
6777,3.8935e-11
6786,3.88432e-11
6795,3.87518e-11
6804,3.86607e-11
6813,3.85701e-11
6822,3.84797e-11
6831,3.83898e-11
6840,3.83002e-11
6849,3.8211e-11
6858,3.81221e-11
6867,3.80336e-11
6876,3.79454e-11
6885,3.78576e-11
6894,3.77702e-11
6903,3.76831e-11
6912,3.75964e-11
6921,3.751e-11
6930,3.74239e-11
6939,3.73382e-11
6948,3.72528e-11
6957,3.71678e-11
6966,3.70831e-11
6975,3.69988e-11
6984,3.69147e-11
6993,3.6831e-11
7002,3.67477e-11
7011,3.66647e-11
7020,3.6582e-11
7029,3.64996e-11
7038,3.64175e-11
7047,3.63358e-11
7056,3.62544e-11
7065,3.61733e-11
7074,3.60925e-11
7083,3.60121e-11
7092,3.59319e-11
7101,3.58521e-11
7110,3.57726e-11
7119,3.56934e-11
7128,3.56145e-11
7137,3.55359e-11
7146,3.54576e-11
7155,3.53796e-11
7164,3.53019e-11
7173,3.52246e-11
7182,3.51475e-11
7191,3.50707e-11
7200,3.49942e-11
7209,3.4918e-11
7218,3.48421e-11
7227,3.47665e-11
7236,3.46911e-11
7245,3.46161e-11
7254,3.45414e-11
7263,3.44669e-11
7272,3.43927e-11
7281,3.43188e-11
7290,3.42452e-11
7299,3.41719e-11
7308,3.40988e-11
7317,3.4026e-11
7326,3.39535e-11
7335,3.38813e-11
7344,3.38093e-11
7353,3.37376e-11
7362,3.36662e-11
7371,3.35951e-11
7380,3.35242e-11
7389,3.34536e-11
7398,3.33832e-11
7407,3.33132e-11
7416,3.32433e-11
7425,3.31738e-11
7434,3.31045e-11
7443,3.30354e-11
7452,3.29667e-11
7461,3.28981e-11
7470,3.28299e-11
7479,3.27618e-11
7488,3.26941e-11
7497,3.26265e-11
7506,3.25593e-11
7515,3.24923e-11
7524,3.24255e-11
7533,3.2359e-11
7542,3.22927e-11
7551,3.22267e-11
7560,3.21609e-11
7569,3.20953e-11
7578,3.203e-11
7587,3.19649e-11
7596,3.19001e-11
7605,3.18355e-11
7614,3.17712e-11
7623,3.1707e-11
7632,3.16431e-11
7641,3.15795e-11
7650,3.15161e-11
7659,3.14529e-11
7668,3.13899e-11
7677,3.13272e-11
7686,3.12647e-11
7695,3.12024e-11
7704,3.11403e-11
7713,3.10785e-11
7722,3.10169e-11
7731,3.09555e-11
7740,3.08943e-11
7749,3.08334e-11
7758,3.07726e-11
7767,3.07121e-11
7776,3.06518e-11
7785,3.05917e-11
7794,3.05319e-11
7803,3.04722e-11
7812,3.04128e-11
7821,3.03536e-11
7830,3.02945e-11
7839,3.02357e-11
7848,3.01771e-11
7857,3.01188e-11
7866,3.00606e-11
7875,3.00026e-11
7884,2.99448e-11
7893,2.98873e-11
7902,2.98299e-11
7911,2.97727e-11
7920,2.97158e-11
7929,2.9659e-11
7938,2.96025e-11
7947,2.95461e-11
7956,2.949e-11
7965,2.9434e-11
7974,2.93782e-11
7983,2.93227e-11
7992,2.92673e-11
8001,2.92121e-11
8010,2.91571e-11
8019,2.91023e-11
8028,2.90477e-11
8037,2.89933e-11
8046,2.8939e-11
8055,2.8885e-11
8064,2.88311e-11
8073,2.87775e-11
8082,2.8724e-11
8091,2.86707e-11
8100,2.86176e-11
8109,2.85646e-11
8118,2.85119e-11
8127,2.84593e-11
8136,2.84069e-11
8145,2.83547e-11
8154,2.83027e-11
8163,2.82509e-11
8172,2.81992e-11
8181,2.81477e-11
8190,2.80964e-11
8199,2.80452e-11
8208,2.79943e-11
8217,2.79435e-11
8226,2.78929e-11
8235,2.78424e-11
8244,2.77921e-11
8253,2.7742e-11
8262,2.76921e-11
8271,2.76423e-11
8280,2.75927e-11
8289,2.75433e-11
8298,2.7494e-11
8307,2.74449e-11
8316,2.7396e-11
8325,2.73472e-11
8334,2.72986e-11
8343,2.72502e-11
8352,2.72019e-11
8361,2.71538e-11
8370,2.71059e-11
8379,2.70581e-11
8388,2.70104e-11
8397,2.6963e-11
8406,2.69157e-11
8415,2.68685e-11
8424,2.68215e-11
8433,2.67747e-11
8442,2.6728e-11
8451,2.66815e-11
8460,2.66351e-11
8469,2.65889e-11
8478,2.65428e-11
8487,2.64969e-11
8496,2.64511e-11
8505,2.64055e-11
8514,2.63601e-11
8523,2.63148e-11
8532,2.62696e-11
8541,2.62246e-11
8550,2.61797e-11
8559,2.6135e-11
8568,2.60904e-11
8577,2.6046e-11
8586,2.60017e-11
8595,2.59576e-11
8604,2.59136e-11
8613,2.58698e-11
8622,2.58261e-11
8631,2.57825e-11
8640,2.57391e-11
8649,2.56959e-11
8658,2.56527e-11
8667,2.56097e-11
8676,2.55669e-11
8685,2.55242e-11
8694,2.54816e-11
8703,2.54392e-11
8712,2.53969e-11
8721,2.53547e-11
8730,2.53127e-11
