time,signal
0.0143889,1.89758e-10
0.0144167,3.14737e-10
0.0144444,5.18822e-10
0.0144722,8.49977e-10
0.0145,1.38394e-09
0.0145278,2.23948e-09
0.0145556,3.60163e-09
0.0145833,5.75665e-09
0.0146111,9.14452e-09
0.0146389,1.44368e-08
0.0146667,2.26519e-08
0.0146944,3.53229e-08
0.0147222,5.4743e-08
0.01475,8.43181e-08
0.0147778,1.29072e-07
0.0148056,1.96366e-07
0.0148333,2.96907e-07
0.0148611,4.46163e-07
0.0148889,6.66326e-07
0.0149167,9.8901e-07
0.0149444,1.45893e-06
0.0149722,2.13889e-06
0.015,3.11647e-06
0.0150278,4.51292e-06
0.0150556,6.4949e-06
0.0150833,9.28983e-06
0.0151111,1.32057e-05
0.0151389,1.86568e-05
0.0151667,2.61959e-05
0.0151944,3.65552e-05
0.0152222,5.06973e-05
0.01525,6.9878e-05
0.0152778,9.57231e-05
0.0153056,0.000130321
0.0153333,0.000176331
0.0153611,0.000237119
0.0153889,0.0003169
0.0154167,0.000420919
0.0154444,0.000555643
0.0154722,0.000728975
0.0155,0.000950495
0.0155278,0.00123171
0.0155556,0.0015863
0.0155833,0.0020304
0.0156111,0.00258285
0.0156389,0.0032654
0.0156667,0.00410294
0.0156944,0.00512357
0.0157222,0.00635873
0.01575,0.00784311
0.0157778,0.0096145
0.0158056,0.0117134
0.0158333,0.0141828
0.0158611,0.0170672
0.0158889,0.0204117
0.0159167,0.0242615
0.0159444,0.02866
0.0159722,0.0336477
0.016,0.0392604
0.0160278,0.0455274
0.0160556,0.0524701
0.0160833,0.0600995
0.0161111,0.0684147
0.0161389,0.0774014
0.0161667,0.0870298
0.0161944,0.0972539
0.0162222,0.108011
0.01625,0.119219
0.0162778,0.130781
0.0163056,0.142582
0.0163333,0.154491
0.0163611,0.166365
0.0163889,0.17805
0.0164167,0.189383
0.0164444,0.200199
0.0164722,0.21033
0.0165,0.219614
0.0165278,0.227898
0.0165556,0.235039
0.0165833,0.240913
0.0166111,0.245414
0.0166389,0.248462
0.0166667,0.25
0.0166944,0.25
0.0167222,0.248462
0.01675,0.245414
0.0167778,0.240913
0.0168056,0.235039
0.0168333,0.227898
0.0168611,0.219614
0.0168889,0.21033
0.0169167,0.200199
0.0169444,0.189383
0.0169722,0.17805
0.017,0.166365
0.0170278,0.154491
0.0170556,0.142582
0.0170833,0.130781
0.0171111,0.119219
0.0171389,0.108011
0.0171667,0.0972539
0.0171944,0.0870298
0.0172222,0.0774014
0.01725,0.0684147
0.0172778,0.0600995
0.0173056,0.0524701
0.0173333,0.0455274
0.0173611,0.0392604
0.0173889,0.0336477
0.0174167,0.02866
0.0174444,0.0242615
0.0174722,0.0204117
0.0175,0.0170672
0.0175278,0.0141828
0.0175556,0.0117134
0.0175833,0.0096145
0.0176111,0.00784311
0.0176389,0.00635873
0.0176667,0.00512357
0.0176944,0.00410294
0.0177222,0.0032654
0.01775,0.00258285
0.0177778,0.0020304
0.0178056,0.0015863
0.0178333,0.00123171
0.0178611,0.000950495
0.0178889,0.000728975
0.0179167,0.000555643
0.0179444,0.000420919
0.0179722,0.0003169
0.018,0.000237119
0.0180278,0.000176331
0.0180556,0.000130321
0.0180833,9.57231e-05
0.0181111,6.9878e-05
0.0181389,5.06973e-05
0.0181667,3.65552e-05
0.0181944,2.61959e-05
0.0182222,1.86568e-05
0.01825,1.32057e-05
0.0182778,9.28983e-06
0.0183056,6.4949e-06
0.0183333,4.51292e-06
0.0183611,3.11647e-06
0.0183889,2.13889e-06
0.0184167,1.45893e-06
0.0184444,9.8901e-07
0.0184722,6.66326e-07
0.0185,4.46163e-07
0.0185278,2.96907e-07
0.0185556,1.96366e-07
0.0185833,1.29072e-07
0.0186111,8.43181e-08
0.0186389,5.4743e-08
0.0186667,3.53229e-08
0.0186944,2.26519e-08
0.0187222,1.44368e-08
0.01875,9.14452e-09
0.0187778,5.75664e-09
0.0188056,3.60162e-09
0.0188333,2.23948e-09
0.0188611,1.38394e-09
0.0188889,8.49976e-10
0.0189167,5.1882e-10
0.0189444,3.14736e-10
0.0189722,1.89757e-10
0.019,1.13701e-10
0.0190278,6.77107e-11
0.0190556,4.00739e-11
0.0190833,2.35719e-11
0.0191111,1.37793e-11
0.0191389,8.00576e-12
0.0191667,4.62205e-12
0.0191944,2.65249e-12
0.0192222,1.51215e-12
0.01925,8.57175e-13
0.0192778,4.82198e-13
0.0193056,2.70034e-13
0.0193333,1.49575e-13
0.0193611,8.28226e-14
0.0193889,4.48253e-14
0.0194167,2.45914e-14
0.0194444,1.26288e-14
0.0194722,6.88338e-15
0.0195,2.96985e-15
0.0195278,1.66533e-15
0.0195556,2.77556e-17
0.0195833,1.66533e-16
0.0196111,-7.77156e-16
0.0196389,-3.05311e-16
0.0196667,-9.71445e-16
0.0196944,-4.16334e-16
0.0197222,-1.08247e-15
0.01975,-4.16334e-16
0.0197778,-1.05471e-15
0.0198056,-4.44089e-16
0.0198333,-1.13798e-15
0.0198611,-4.71845e-16
0.0198889,-1.13798e-15
0.0199167,-4.996e-16
0.0199444,-1.13798e-15
0.0199722,-4.996e-16
0.02,-1.13798e-15
0.0200278,-4.44089e-16
0.0200556,-1.08247e-15
0.0200833,-4.44089e-16
0.0201111,-1.02696e-15
0.0201389,-4.71845e-16
0.0201667,-1.08247e-15
0.0201944,-4.996e-16
0.0202222,-9.99201e-16
0.02025,-5.27356e-16
0.0202778,-9.99201e-16
0.0203056,-5.82867e-16
0.0203333,-1.02696e-15
0.0203611,-5.82867e-16
