Time,N_numeric,R_numeric,N_analytical,R_analytical
26.9,17.1166,0.342332,17.1258,0.342516
27,17.1508,0.343016,17.1601,0.343201
27.1,17.1851,0.343702,17.1944,0.343888
27.2,17.2195,0.34439,17.2288,0.344577
27.3,17.2539,0.345079,17.2633,0.345267
27.4,17.2884,0.345769,17.2979,0.345958
27.5,17.323,0.34646,17.3325,0.346651
27.6,17.3577,0.347153,17.3672,0.347345
27.7,17.3924,0.347847,17.402,0.34804
27.8,17.4272,0.348543,17.4368,0.348737
27.9,17.462,0.34924,17.4717,0.349435
28,17.4969,0.349939,17.5067,0.350135
28.1,17.5319,0.350639,17.5418,0.350835
28.2,17.567,0.35134,17.5769,0.351538
28.3,17.6021,0.352043,17.6121,0.352242
28.4,17.6373,0.352747,17.6473,0.352947
28.5,17.6726,0.353452,17.6827,0.353653
28.6,17.708,0.354159,17.7181,0.354361
28.7,17.7434,0.354867,17.7535,0.355071
28.8,17.7789,0.355577,17.7891,0.355782
28.9,17.8144,0.356288,17.8247,0.356494
29,17.85,0.357001,17.8604,0.357208
29.1,17.8857,0.357715,17.8961,0.357923
29.2,17.9215,0.35843,17.932,0.358639
29.3,17.9574,0.359147,17.9679,0.359357
29.4,17.9933,0.359865,18.0038,0.360077
29.5,18.0293,0.360585,18.0399,0.360798
29.6,18.0653,0.361306,18.076,0.36152
29.7,18.1014,0.362029,18.1122,0.362244
29.8,18.1376,0.362753,18.1484,0.362969
29.9,18.1739,0.363479,18.1848,0.363696
30,18.2103,0.364205,18.2212,0.364424
30.1,18.2467,0.364934,18.2577,0.365153
30.2,18.2832,0.365664,18.2942,0.365884
30.3,18.3198,0.366395,18.3308,0.366617
30.4,18.3564,0.367128,18.3675,0.367351
30.5,18.3931,0.367862,18.4043,0.368086
30.6,18.4299,0.368598,18.4412,0.368823
30.7,18.4668,0.369335,18.4781,0.369562
30.8,18.5037,0.370074,18.5151,0.370301
30.9,18.5407,0.370814,18.5521,0.371043
31,18.5778,0.371555,18.5893,0.371786
31.1,18.6149,0.372299,18.6265,0.37253
31.2,18.6522,0.373043,18.6638,0.373276
31.3,18.6895,0.373789,18.7012,0.374023
31.4,18.7268,0.374537,18.7386,0.374772
31.5,18.7643,0.375286,18.7761,0.375522
31.6,18.8018,0.376036,18.8137,0.376274
31.7,18.8394,0.376789,18.8514,0.377027
31.8,18.8771,0.377542,18.8891,0.377782
31.9,18.9149,0.378297,18.9269,0.378538
32,18.9527,0.379054,18.9648,0.379296
32.1,18.9906,0.379812,19.0028,0.380056
32.2,19.0286,0.380572,19.0408,0.380816
32.3,19.0666,0.381333,19.0789,0.381579
32.4,19.1048,0.382095,19.1171,0.382343
32.5,19.143,0.38286,19.1554,0.383108
32.6,19.1813,0.383625,19.1938,0.383875
32.7,19.2196,0.384393,19.2322,0.384644
32.8,19.2581,0.385161,19.2707,0.385414
32.9,19.2966,0.385932,19.3093,0.386185
33,19.3352,0.386703,19.3479,0.386958
33.1,19.3738,0.387477,19.3867,0.387733
33.2,19.4126,0.388252,19.4255,0.388509
33.3,19.4514,0.389028,19.4644,0.389287
33.4,19.4903,0.389806,19.5033,0.390067
33.5,19.5293,0.390586,19.5424,0.390847
33.6,19.5684,0.391367,19.5815,0.39163
33.7,19.6075,0.39215,19.6207,0.392414
33.8,19.6467,0.392934,19.66,0.3932
33.9,19.686,0.39372,19.6993,0.393987
34,19.7254,0.394508,19.7388,0.394776
34.1,19.7648,0.395297,19.7783,0.395566
34.2,19.8044,0.396087,19.8179,0.396358
34.3,19.844,0.396879,19.8576,0.397151
34.4,19.8837,0.397673,19.8973,0.397946
34.5,19.9234,0.398468,19.9372,0.398743
34.6,19.9633,0.399265,19.9771,0.399541
34.7,20.0032,0.400064,20.0171,0.400341
34.8,20.0432,0.400864,20.0571,0.401143
34.9,20.0833,0.401666,20.0973,0.401946
35,20.1235,0.402469,20.1375,0.402751
35.1,20.1637,0.403274,20.1778,0.403557
35.2,20.204,0.404081,20.2182,0.404365
35.3,20.2444,0.404889,20.2587,0.405174
35.4,20.2849,0.405699,20.2993,0.405985
35.5,20.3255,0.40651,20.3399,0.406798
35.6,20.3661,0.407323,20.3806,0.407613
35.7,20.4069,0.408138,20.4214,0.408429
35.8,20.4477,0.408954,20.4623,0.409246
35.9,20.4886,0.409772,20.5033,0.410066
36,20.5296,0.410591,20.5443,0.410887
36.1,20.5706,0.411412,20.5855,0.411709
36.2,20.6118,0.412235,20.6267,0.412533
36.3,20.653,0.41306,20.668,0.413359
36.4,20.6943,0.413886,20.7093,0.414187
36.5,20.7357,0.414714,20.7508,0.415016
36.6,20.7772,0.415543,20.7923,0.415847
36.7,20.8187,0.416374,20.834,0.41668
36.8,20.8603,0.417207,20.8757,0.417514
36.9,20.9021,0.418041,20.9175,0.41835
37,20.9439,0.418877,20.9594,0.419187
37.1,20.9858,0.419715,21.0013,0.420026
37.2,21.0277,0.420555,21.0434,0.420867
37.3,21.0698,0.421396,21.0855,0.42171
37.4,21.1119,0.422239,21.1277,0.422554
37.5,21.1541,0.423083,21.17,0.4234
37.6,21.1965,0.423929,21.2124,0.424248
37.7,21.2389,0.424777,21.2548,0.425097
37.8,21.2813,0.425627,21.2974,0.425948
37.9,21.3239,0.426478,21.34,0.426801
38,21.3665,0.427331,21.3828,0.427655
38.1,21.4093,0.428185,21.4256,0.428511
38.2,21.4521,0.429042,21.4685,0.429369
38.3,21.495,0.4299,21.5114,0.430229
38.4,21.538,0.43076,21.5545,0.43109
38.5,21.5811,0.431621,21.5977,0.431953
38.6,21.6242,0.432484,21.6409,0.432818
38.7,21.6675,0.433349,21.6842,0.433685
38.8,21.7108,0.434216,21.7276,0.434553
38.9,21.7542,0.435085,21.7711,0.435423
39,21.7977,0.435955,21.8147,0.436294
39.1,21.8413,0.436827,21.8584,0.437168
39.2,21.885,0.4377,21.9022,0.438043
39.3,21.9288,0.438576,21.946,0.43892
39.4,21.9726,0.439453,21.9899,0.439799
39.5,22.0166,0.440332,22.034,0.440679
39.6,22.0606,0.441212,22.0781,0.441562
39.7,22.1047,0.442095,22.1223,0.442446
39.8,22.149,0.442979,22.1666,0.443331
39.9,22.1932,0.443865,22.2109,0.444219
40,22.2376,0.444753,22.2554,0.445108
40.1,22.2821,0.445642,22.3,0.445999
40.2,22.3267,0.446534,22.3446,0.446892
40.3,22.3713,0.447427,22.3893,0.447787
40.4,22.4161,0.448321,22.4342,0.448683
40.5,22.4609,0.449218,22.4791,0.449582
40.6,22.5058,0.450117,22.5241,0.450482
40.7,22.5508,0.451017,22.5692,0.451384
40.8,22.5959,0.451919,22.6144,0.452287
40.9,22.6411,0.452823,22.6596,0.453193
41,22.6864,0.453728,22.705,0.4541
41.1,22.7318,0.454636,22.7505,0.455009
41.2,22.7772,0.455545,22.796,0.45592
41.3,22.8228,0.456456,22.8416,0.456833
41.4,22.8684,0.457369,22.8874,0.457747
41.5,22.9142,0.458284,22.9332,0.458664
41.6,22.96,0.4592,22.9791,0.459582
41.7,23.0059,0.460119,23.0251,0.460502
41.8,23.0519,0.461039,23.0712,0.461424
41.9,23.0981,0.461961,23.1174,0.462348
42,23.1442,0.462885,23.1637,0.463273
42.1,23.1905,0.463811,23.21,0.464201
42.2,23.2369,0.464738,23.2565,0.46513
42.3,23.2834,0.465668,23.3031,0.466061
42.4,23.33,0.466599,23.3497,0.466994
42.5,23.3766,0.467532,23.3965,0.467929
42.6,23.4234,0.468467,23.4433,0.468866
42.7,23.4702,0.469404,23.4902,0.469805
42.8,23.5172,0.470343,23.5373,0.470745
42.9,23.5642,0.471284,23.5844,0.471688
43,23.6113,0.472226,23.6316,0.472632
43.1,23.6585,0.473171,23.6789,0.473578
43.2,23.7059,0.474117,23.7263,0.474526
43.3,23.7533,0.475065,23.7738,0.475476
43.4,23.8008,0.476016,23.8214,0.476428
43.5,23.8484,0.476968,23.8691,0.477382
43.6,23.8961,0.477922,23.9169,0.478338
43.7,23.9439,0.478877,23.9648,0.479296
43.8,23.9918,0.479835,24.0128,0.480255
43.9,24.0397,0.480795,24.0608,0.481217
44,24.0878,0.481756,24.109,0.48218
44.1,24.136,0.48272,24.1573,0.483145
44.2,24.1843,0.483685,24.2056,0.484113
44.3,24.2326,0.484653,24.2541,0.485082
44.4,24.2811,0.485622,24.3026,0.486053
44.5,24.3297,0.486593,24.3513,0.487026
44.6,24.3783,0.487566,24.4,0.488001
44.7,24.4271,0.488542,24.4489,0.488978
44.8,24.4759,0.489519,24.4978,0.489957
44.9,24.5249,0.490498,24.5469,0.490938
45,24.5739,0.491479,24.596,0.491921
45.1,24.6231,0.492462,24.6453,0.492905
45.2,24.6723,0.493447,24.6946,0.493892
45.3,24.7217,0.494433,24.7441,0.494881
45.4,24.7711,0.495422,24.7936,0.495872
45.5,24.8207,0.496413,24.8432,0.496865
45.6,24.8703,0.497406,24.893,0.497859
45.7,24.92,0.498401,24.9428,0.498856
45.8,24.9699,0.499398,24.9927,0.499855
45.9,25.0198,0.500396,25.0428,0.500855
46,25.0699,0.501397,25.0929,0.501858
46.1,25.12,0.5024,25.1431,0.502863
46.2,25.1702,0.503405,25.1935,0.50387
46.3,25.2206,0.504412,25.2439,0.504878
46.4,25.271,0.50542,25.2945,0.505889
46.5,25.3216,0.506431,25.3451,0.506902
46.6,25.3722,0.507444,25.3958,0.507917
46.7,25.423,0.508459,25.4467,0.508934
46.8,25.4738,0.509476,25.4976,0.509952
46.9,25.5247,0.510495,25.5487,0.510973
47,25.5758,0.511516,25.5998,0.511996
47.1,25.6269,0.512539,25.6511,0.513021
47.2,25.6782,0.513564,25.7024,0.514048
47.3,25.7296,0.514591,25.7539,0.515077
47.4,25.781,0.51562,25.8054,0.516109
47.5,25.8326,0.516652,25.8571,0.517142
47.6,25.8842,0.517685,25.9089,0.518177
47.7,25.936,0.51872,25.9607,0.519215
47.8,25.9879,0.519758,26.0127,0.520254
47.9,26.0399,0.520797,26.0648,0.521296
48,26.0919,0.521839,26.117,0.522339
48.1,26.1441,0.522882,26.1693,0.523385
48.2,26.1964,0.523928,26.2216,0.524433
48.3,26.2488,0.524976,26.2741,0.525483
48.4,26.3013,0.526026,26.3267,0.526535
48.5,26.3539,0.527078,26.3794,0.527589
48.6,26.4066,0.528132,26.4323,0.528645
48.7,26.4594,0.529188,26.4852,0.529703
48.8,26.5123,0.530247,26.5382,0.530764
48.9,26.5654,0.531307,26.5913,0.531827
49,26.6185,0.53237,26.6446,0.532891
49.1,26.6717,0.533435,26.6979,0.533958
49.2,26.7251,0.534502,26.7514,0.535027
49.3,26.7785,0.535571,26.8049,0.536098
49.4,26.8321,0.536642,26.8586,0.537171
49.5,26.8858,0.537715,26.9123,0.538247
49.6,26.9395,0.53879,26.9662,0.539324
49.7,26.9934,0.539868,27.0202,0.540404
49.8,27.0474,0.540948,27.0743,0.541486
49.9,27.1015,0.54203,27.1285,0.54257
50,27.1557,0.543114,27.1828,0.543656
50.1,27.21,0.5442,27.2372,0.544745
50.2,27.2644,0.545288,27.2918,0.545835
50.3,27.3189,0.546379,27.3464,0.546928
50.4,27.3736,0.547472,27.4012,0.548023
50.5,27.4283,0.548567,27.456,0.54912
50.6,27.4832,0.549664,27.511,0.55022
50.7,27.5382,0.550763,27.5661,0.551321
50.8,27.5932,0.551865,27.6212,0.552425
50.9,27.6484,0.552968,27.6765,0.553531
51,27.7037,0.554074,27.7319,0.554639
51.1,27.7591,0.555182,27.7875,0.555749
51.2,27.8146,0.556293,27.8431,0.556862
51.3,27.8703,0.557405,27.8988,0.557977
51.4,27.926,0.55852,27.9547,0.559094
51.5,27.9819,0.559637,28.0107,0.560213
51.6,28.0378,0.560756,28.0667,0.561335
51.7,28.0939,0.561878,28.1229,0.562459
