Time,Population
90.5,60.9941
90.6,61.1161
90.7,61.2383
90.8,61.3608
90.9,61.4835
91,61.6065
91.1,61.7297
91.2,61.8532
91.3,61.9769
91.4,62.1008
91.5,62.225
91.6,62.3495
91.7,62.4742
91.8,62.5991
91.9,62.7243
92,62.8498
92.1,62.9755
92.2,63.1014
92.3,63.2276
92.4,63.3541
92.5,63.4808
92.6,63.6078
92.7,63.735
92.8,63.8625
92.9,63.9902
93,64.1182
93.1,64.2464
93.2,64.3749
93.3,64.5036
93.4,64.6326
93.5,64.7619
93.6,64.8914
93.7,65.0212
93.8,65.1513
93.9,65.2816
94,65.4121
94.1,65.5429
94.2,65.674
94.3,65.8054
94.4,65.937
94.5,66.0689
94.6,66.201
94.7,66.3334
94.8,66.4661
94.9,66.599
95,66.7322
95.1,66.8657
95.2,66.9994
95.3,67.1334
95.4,67.2677
95.5,67.4022
95.6,67.537
95.7,67.6721
95.8,67.8074
95.9,67.943
96,68.0789
96.1,68.2151
96.2,68.3515
96.3,68.4882
96.4,68.6252
96.5,68.7624
96.6,68.9
96.7,69.0378
96.8,69.1758
96.9,69.3142
97,69.4528
97.1,69.5917
97.2,69.7309
97.3,69.8704
97.4,70.0101
97.5,70.1501
97.6,70.2904
97.7,70.431
97.8,70.5719
97.9,70.713
98,70.8544
98.1,70.9962
98.2,71.1381
98.3,71.2804
98.4,71.423
98.5,71.5658
98.6,71.709
98.7,71.8524
98.8,71.9961
98.9,72.1401
99,72.2844
99.1,72.4289
99.2,72.5738
99.3,72.7189
99.4,72.8644
99.5,73.0101
99.6,73.1561
99.7,73.3024
99.8,73.449
99.9,73.5959
100,73.7431
100.1,73.8906
100.2,73.4924
100.3,73.0993
100.4,72.7111
100.5,72.3279
100.6,71.9494
100.7,71.5756
100.8,71.2065
100.9,70.8418
101,70.4817
101.1,70.1259
101.2,69.7743
101.3,69.427
101.4,69.0839
101.5,68.7448
101.6,68.4097
101.7,68.0785
101.8,67.7512
101.9,67.4277
102,67.1079
102.1,66.7918
102.2,66.4792
102.3,66.1703
102.4,65.8647
102.5,65.5627
102.6,65.2639
102.7,64.9685
102.8,64.6764
102.9,64.3874
103,64.1016
103.1,63.8189
103.2,63.5393
103.3,63.2626
103.4,62.9889
103.5,62.7182
103.6,62.4502
103.7,62.1851
103.8,61.9228
103.9,61.6632
104,61.4063
104.1,61.152
104.2,60.9004
104.3,60.6513
104.4,60.4047
104.5,60.1607
104.6,59.9191
104.7,59.6799
104.8,59.4431
104.9,59.2086
105,58.9765
105.1,58.7466
105.2,58.519
105.3,58.2936
105.4,58.0703
105.5,57.8493
105.6,57.6303
105.7,57.4134
105.8,57.1986
105.9,56.9859
106,56.7751
106.1,56.5663
106.2,56.3595
106.3,56.1545
106.4,55.9515
106.5,55.7504
106.6,55.5511
106.7,55.3536
106.8,55.1579
106.9,54.9639
107,54.7718
107.1,54.5813
107.2,54.3926
107.3,54.2055
107.4,54.0201
107.5,53.8363
107.6,53.6542
107.7,53.4736
107.8,53.2946
107.9,53.1171
108,52.9412
108.1,52.7668
108.2,52.5939
108.3,52.4225
108.4,52.2525
108.5,52.084
108.6,51.9169
108.7,51.7512
108.8,51.5869
108.9,51.4239
109,51.2624
109.1,51.1021
109.2,50.9432
109.3,50.7855
109.4,50.6292
109.5,50.4741
109.6,50.3203
109.7,50.1677
109.8,50.0164
109.9,49.8662
110,49.7173
110.1,49.5696
110.2,49.423
110.3,49.2776
110.4,49.1333
110.5,48.9902
110.6,48.8481
110.7,48.7072
110.8,48.5674
110.9,48.4286
111,48.291
111.1,48.1544
111.2,48.0188
111.3,47.8842
111.4,47.7507
111.5,47.6182
111.6,47.4867
111.7,47.3562
111.8,47.2266
111.9,47.098
112,46.9704
112.1,46.8437
112.2,46.718
112.3,46.5932
112.4,46.4693
112.5,46.3462
112.6,46.2241
112.7,46.1029
112.8,45.9826
112.9,45.8631
113,45.7445
113.1,45.6267
113.2,45.5098
113.3,45.3937
113.4,45.2784
113.5,45.164
113.6,45.0503
113.7,44.9375
113.8,44.8254
113.9,44.7141
114,44.6036
114.1,44.4939
114.2,44.3849
114.3,44.2767
114.4,44.1692
114.5,44.0624
114.6,43.9564
114.7,43.8511
114.8,43.7465
114.9,43.6426
115,43.5394
115.1,43.437
115.2,43.3351
115.3,43.234
115.4,43.1336
115.5,43.0338
115.6,42.9347
115.7,42.8362
115.8,42.7384
115.9,42.6412
116,42.5447
116.1,42.4487
116.2,42.3534
116.3,42.2588
116.4,42.1647
116.5,42.0713
116.6,41.9784
116.7,41.8861
116.8,41.7945
116.9,41.7034
117,41.6129
117.1,41.5229
117.2,41.4336
117.3,41.3447
117.4,41.2565
117.5,41.1688
117.6,41.0817
117.7,40.995
117.8,40.909
117.9,40.8234
118,40.7384
118.1,40.6539
118.2,40.57
118.3,40.4865
118.4,40.4036
118.5,40.3211
118.6,40.2392
118.7,40.1578
118.8,40.0768
118.9,39.9964
119,39.9164
119.1,39.8369
119.2,39.7579
119.3,39.6793
119.4,39.6012
119.5,39.5236
119.6,39.4464
119.7,39.3697
119.8,39.2935
119.9,39.2177
120,39.1423
120.1,39.0674
120.2,38.9929
120.3,38.9188
120.4,38.8452
120.5,38.772
120.6,38.6992
120.7,38.6268
120.8,38.5549
120.9,38.4833
121,38.4122
121.1,38.3415
121.2,38.2712
121.3,38.2012
121.4,38.1317
121.5,38.0626
121.6,37.9938
121.7,37.9254
121.8,37.8575
121.9,37.7899
122,37.7226
122.1,37.6558
122.2,37.5893
122.3,37.5232
122.4,37.4574
122.5,37.392
122.6,37.327
122.7,37.2623
122.8,37.198
122.9,37.134
123,37.0704
123.1,37.0071
123.2,36.9442
123.3,36.8816
123.4,36.8193
123.5,36.7574
123.6,36.6958
123.7,36.6345
123.8,36.5736
123.9,36.513
124,36.4527
124.1,36.3927
124.2,36.3331
124.3,36.2737
124.4,36.2147
124.5,36.156
124.6,36.0975
124.7,36.0394
124.8,35.9816
124.9,35.9241
125,35.8669
125.1,35.81
125.2,35.7534
125.3,35.6971
125.4,35.641
125.5,35.5853
125.6,35.5298
125.7,35.4747
125.8,35.4198
125.9,35.3651
126,35.3108
126.1,35.2567
126.2,35.2029
126.3,35.1494
126.4,35.0962
126.5,35.0432
126.6,34.9905
126.7,34.938
126.8,34.8858
126.9,34.8339
127,34.7822
127.1,34.7308
127.2,34.6797
127.3,34.6287
127.4,34.5781
127.5,34.5277
127.6,34.4775
127.7,34.4276
127.8,34.3779
127.9,34.3285
128,34.2793
128.1,34.2304
128.2,34.1817
128.3,34.1332
128.4,34.0849
128.5,34.0369
128.6,33.9892
128.7,33.9416
128.8,33.8943
128.9,33.8472
129,33.8003
129.1,33.7537
129.2,33.7073
129.3,33.6611
129.4,33.6151
129.5,33.5693
129.6,33.5238
129.7,33.4784
129.8,33.4333
129.9,33.3884
130,33.3437
130.1,33.2992
130.2,33.2549
130.3,33.2108
130.4,33.1669
130.5,33.1233
130.6,33.0798
130.7,33.0365
130.8,32.9935
130.9,32.9506
131,32.9079
131.1,32.8655
131.2,32.8232
131.3,32.7811
131.4,32.7392
