Time,Population
8.81,11.9266
8.82,11.9289
8.83,11.9313
8.84,11.9337
8.85,11.9361
8.86,11.9385
8.87,11.9409
8.88,11.9433
8.89,11.9457
8.9,11.948
8.91,11.9504
8.92,11.9528
8.93,11.9552
8.94,11.9576
8.95,11.96
8.96,11.9624
8.97,11.9648
8.98,11.9672
8.99,11.9696
9,11.972
9.01,11.9744
9.02,11.9767
9.03,11.9791
9.04,11.9815
9.05,11.9839
9.06,11.9863
9.07,11.9887
9.08,11.9911
9.09,11.9935
9.1,11.9959
9.11,11.9983
9.12,12.0007
9.13,12.0031
9.14,12.0055
9.15,12.0079
9.16,12.0103
9.17,12.0127
9.18,12.0151
9.19,12.0175
9.2,12.0199
9.21,12.0223
9.22,12.0247
9.23,12.0272
9.24,12.0296
9.25,12.032
9.26,12.0344
9.27,12.0368
9.28,12.0392
9.29,12.0416
9.3,12.044
9.31,12.0464
9.32,12.0488
9.33,12.0512
9.34,12.0536
9.35,12.056
9.36,12.0585
9.37,12.0609
9.38,12.0633
9.39,12.0657
9.4,12.0681
9.41,12.0705
9.42,12.0729
9.43,12.0754
9.44,12.0778
9.45,12.0802
9.46,12.0826
9.47,12.085
9.48,12.0874
9.49,12.0898
9.5,12.0923
9.51,12.0947
9.52,12.0971
9.53,12.0995
9.54,12.1019
9.55,12.1044
9.56,12.1068
9.57,12.1092
9.58,12.1116
9.59,12.114
9.6,12.1165
9.61,12.1189
9.62,12.1213
9.63,12.1237
9.64,12.1262
9.65,12.1286
9.66,12.131
9.67,12.1334
9.68,12.1359
9.69,12.1383
9.7,12.1407
9.71,12.1432
9.72,12.1456
9.73,12.148
9.74,12.1504
9.75,12.1529
9.76,12.1553
9.77,12.1577
9.78,12.1602
9.79,12.1626
9.8,12.165
9.81,12.1675
9.82,12.1699
9.83,12.1723
9.84,12.1748
9.85,12.1772
9.86,12.1796
9.87,12.1821
9.88,12.1845
9.89,12.1869
9.9,12.1894
9.91,12.1918
9.92,12.1943
9.93,12.1967
9.94,12.1991
9.95,12.2016
9.96,12.204
9.97,12.2065
9.98,12.2089
9.99,12.2113
10,12.2138
10.01,12.2162
10.02,12.2187
10.03,12.2211
10.04,12.2236
10.05,12.226
10.06,12.2284
10.07,12.2309
10.08,12.2333
10.09,12.2358
10.1,12.2382
10.11,12.2407
10.12,12.2431
10.13,12.2456
10.14,12.248
10.15,12.2505
10.16,12.2529
10.17,12.2554
10.18,12.2578
10.19,12.2603
10.2,12.2627
10.21,12.2652
10.22,12.2676
10.23,12.2701
10.24,12.2725
10.25,12.275
10.26,12.2775
10.27,12.2799
10.28,12.2824
10.29,12.2848
10.3,12.2873
10.31,12.2897
10.32,12.2922
10.33,12.2947
10.34,12.2971
10.35,12.2996
10.36,12.302
10.37,12.3045
10.38,12.307
10.39,12.3094
10.4,12.3119
10.41,12.3143
10.42,12.3168
10.43,12.3193
10.44,12.3217
10.45,12.3242
10.46,12.3267
10.47,12.3291
10.48,12.3316
10.49,12.3341
10.5,12.3365
10.51,12.339
10.52,12.3415
10.53,12.3439
10.54,12.3464
10.55,12.3489
10.56,12.3513
10.57,12.3538
10.58,12.3563
10.59,12.3587
10.6,12.3612
10.61,12.3637
10.62,12.3662
10.63,12.3686
10.64,12.3711
10.65,12.3736
10.66,12.3761
10.67,12.3785
10.68,12.381
10.69,12.3835
10.7,12.386
10.71,12.3884
10.72,12.3909
10.73,12.3934
10.74,12.3959
10.75,12.3984
10.76,12.4008
10.77,12.4033
10.78,12.4058
10.79,12.4083
10.8,12.4108
10.81,12.4132
10.82,12.4157
10.83,12.4182
10.84,12.4207
10.85,12.4232
10.86,12.4257
10.87,12.4281
10.88,12.4306
10.89,12.4331
10.9,12.4356
10.91,12.4381
10.92,12.4406
